
---------- Begin Simulation Statistics ----------
simSeconds                                   0.241733                       # Number of seconds simulated (Second)
system.cpu.numSquashedInsts                    159772                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                            1870                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                          178339                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads        4702684                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores      68942266                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads      1437927                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores       367408                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                10047940                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted           9772377                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect            106557                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups              9622294                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates                51427                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits                 9588985                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.996538                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                   60805                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                 17                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups           31728                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits              22143                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses             9585                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted         2579                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts         7360004                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls             583                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts             99540                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples    482274695                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     0.207351                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     0.818517                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0       439494996     91.13%     91.13% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1        15250144      3.16%     94.29% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2        16322815      3.38%     97.68% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3          949246      0.20%     97.87% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4         6305845      1.31%     99.18% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5         2387526      0.50%     99.68% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6          167650      0.03%     99.71% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7           82080      0.02%     99.73% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8         1314393      0.27%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total    482274695                       # Number of insts commited each cycle (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                         228                       # Number of memory barriers committed (Count)
system.cpu.commit.functionCalls                 31364                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass          238      0.00%      0.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu     29181121     29.18%     29.18% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult        90790      0.09%     29.27% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv         1285      0.00%     29.27% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd            0      0.00%     29.27% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp            2      0.00%     29.27% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt           14      0.00%     29.27% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult            2      0.00%     29.27% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     29.27% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv            2      0.00%     29.27% # Class of committed instruction (Count)
